"","size","use",
"sjdb1:/oracle","70.00G","64%",
"sjdb2:/oracle","70.00G","54%",
"sjjrap1:/ewp","30.00G","12%",
"sjjrap1:/gtp","10.00G","1%",
"sjjrap1:/logs","150.00G","1%",
"sjjrap5:/ewp","30.00G","9%",
"sjjrap5:/logs","150.00G","1%",
"sjjrjr1:/ewp","30.00G","39%",
"sjjrjr1:/logs","150.00G","41%",
"sjjrjr5:/ewp","30.00G","6%",
"sjjrjr5:/logs","150.00G","21%",
"sjlog:/baklogs","4122.00G","54%",
"sjmg1:/ewp","20.00G","52%",
"sjmg1:/gtp","50.00G","39%",
"sjmg1:/logs","150.00G","45%",
"sjmg2:/ewp","20.00G","15%",
"sjmg2:/gtp","50.00G","2%",
"sjmg2:/logs","150.00G","1%",
"sjyhapp11:/ewp","20G","6%",
"sjyhapp11:/logs","50G","29%",
"sjyhapp12:/ewp","20G","6%",
"sjyhapp12:/logs","50G","29%",
"sjyhapp13:/ewp","20G","6%",
"sjyhapp13:/logs","50G","29%",
"sjyhapp14:/ewp","20G","6%",
"sjyhapp14:/logs","50G","29%",
"sjyhapp1:/ewp","20G","6%",
"sjyhapp1:/logs","50G","22%",
"sjyhapp2:/ewp","20G","6%",
"sjyhapp2:/logs","50G","22%",
"sjyhapp3:/ewp","9.8G","11%",
"sjyhapp3:/logs","50G","23%",
"sjyhapp4:/ewp","20G","6%",
"sjyhapp4:/logs","50G","23%",
"sjyhapp5:/ewp","20G","8%",
"sjyhapp5:/logs","50G","29%",
"sjyhapp6:/ewp","20G","6%",
"sjyhapp6:/logs","50G","29%",
"sjyhapp7:/ewp","20G","6%",
"sjyhapp7:/logs","50G","29%",
"sjyhapp8:/ewp","20G","7%",
"sjyhapp8:/logs","50G","29%",
"sjyhapp9:/ewp","20G","6%",
"sjyhapp9:/logs","50G","23%",
"sjyhcj1:/ewp","30G","1%",
"sjyhcj1:/logs","30G","8%",
"sjyhcj2:/ewp","30G","1%",
"sjyhcj2:/logs","30G","8%",
"sjyhmem1:/ewp","20G","1%",
"sjyhmem1:/logs","99G","1%",
"sjyhmem1:/redis","99G","10%",
"sjyhmem2:/ewp","20G","1%",
"sjyhmem2:/logs","99G","1%",
"sjyhmem2:/redis","99G","9%",
"sjyhmem3:/ewp","20G","1%",
"sjyhmem3:/logs","99G","1%",
"sjyhmem3:/redis","99G","8%",
"sjyhmem4:/ewp","20G","1%",
"sjyhmem4:/logs","99G","1%",
"sjyhmem4:/redis","99G","8%",
"sjyhmg1:/ewp","115G","17%",
"sjyhmg1:/gtp","50G","41%",
"sjyhmg1:/logs","50G","22%",
"sjyhmg1:/oracle","9.8G","47%",
"sjyhmg2:/ewp","115G","6%",
"sjyhmg2:/gtp","50G","37%",
"sjyhmg2:/logs","50G","51%",
"sjyhmg2:/oracle","9.8G","47%",
"sjyhpic1:/ewp","30G","14%",
"sjyhpic1:/logs","493G","10%",
"sjyhpic2:/ewp","30G","14%",
"sjyhpic2:/logs","493G","10%",
"sjyhtsapp1:/logs","99G","1%",
"sjyhtsapp2:/logs","99G","1%",
"sjyhtsmng1:/logs","99G","1%",
"sjyhtsmng2:/logs","99G","1%",
"sjyhwebjr10:/ewp","20G","12%",
"sjyhwebjr10:/gtp","157G","1%",
"sjyhwebjr10:/logs","97G","1%",
"sjyhwebjr11:/ewp","20G","12%",
"sjyhwebjr11:/logs","97G","17%",
"sjyhwebjr12:/ewp","20G","13%",
"sjyhwebjr12:/logs","97G","17%",
"sjyhwebjr1:/ewp","20G","14%",
"sjyhwebjr1:/logs","97G","17%",
"sjyhwebjr2:/ewp","20G","12%",
"sjyhwebjr2:/logs","97G","17%",
"sjyhwebjr3:/ewp","20G","9%",
"sjyhwebjr3:/logs","97G","17%",
"sjyhwebjr4:/ewp","20G","12%",
"sjyhwebjr4:/logs","97G","17%",
"sjyhwebjr5:/ewp","20G","14%",
"sjyhwebjr5:/logs","97G","17%",
"sjyhwebjr6:/ewp","20G","12%",
"sjyhwebjr6:/logs","97G","29%",
"sjyhwebjr7:/ewp","20G","12%",
"sjyhwebjr7:/logs","97G","17%",
"sjyhwebjr8:/ewp","20G","12%",
"sjyhwebjr8:/logs","97G","17%",
"sjyhwebjr9:/ewp","20G","12%",
"sjyhwebjr9:/gtp","157G","1%",
"sjyhwebjr9:/logs","97G","1%",
"sjyhxxts1:/logs","99G","2%",
"sjyhxxts2:/logs","99G","2%",
