,,,,,,,,,,
手机银行系统自动巡检日报,,,,,,,,,,
"日期：August 29, 2017    Tue",,,,,,,,,,
一、客户数：,,,,,,,,,,
日期,,每日登陆客户数,,,每日金融交易登陆数,,,每日新增客户数,,
2017-08-29,,161866,,,76278,,,9703,,
二、交易量：,,,,,,,,,,
日期,,金融交易数,,,非金融交易数,,,交易总数,,
2017-08-29,,200278,,,2881984,,,7573026,,
三、CPU峰值：,,,,,,,,,,
日期,,机器名称,,,机器中文名称,,,CPU使用率,,
2017-08-29,,sjdb1:KUX,,,数据库服务器1机,,,32,,
2017-08-29,,sjdb2:KUX,,,数据库服务器2机,,,23,,
2017-08-29,,sjjrap1:KUX,,,金融接入应用1机,,,0,,
2017-08-29,,sjjrap2:KUX,,,金融接入应用2机,,,0,,
2017-08-29,,sjjrap3:KUX,,,金融接入应用3机,,,1,,
2017-08-29,,sjjrap4:KUX,,,金融接入应用4机,,,1,,
2017-08-29,,sjjrap5:KUX,,,金融接入应用5机,,,1,,
2017-08-29,,sjjrap6:KUX,,,金融接入应用6机,,,0,,
2017-08-29,,sjjrjr1:KUX,,,金融接入Web1机,,,0,,
2017-08-29,,sjjrjr2:KUX,,,金融接入Web2机,,,1,,
2017-08-29,,sjjrjr3:KUX,,,金融接入Web3机,,,1,,
2017-08-29,,sjjrjr4:KUX,,,金融接入Web4机,,,2,,
2017-08-29,,sjjrjr5:KUX,,,金融接入Web5机,,,2,,
2017-08-29,,sjjrjr6:KUX,,,金融接入Web6机,,,0,,
2017-08-29,,sjlog:KUX,,,日志服务器,,,15,,
2017-08-29,,sjmg1:KUX,,,内管服务器1机,,,10,,
2017-08-29,,sjmg2:KUX,,,内管服务器2机,,,0,,
2017-08-29,,sjyhtsapp1:LZ,,,消息推送应用1机,,,1.16,,
2017-08-29,,sjyhtsapp2:LZ,,,消息推送应用2机,,,0.37,,
2017-08-29,,sjyhtsmng1:LZ,,,消息推送管理1机,,,0.69,,
2017-08-29,,sjyhtsmng2:LZ,,,消息推送管理2机,,,0.98,,
2017-08-29,,sjyhxxts1:LZ,,,消息推送1机,,,38.53,,
2017-08-29,,sjyhxxts2:LZ,,,消息推送2机,,,33.92,,
